Country,Year,LCC
216,2012,FALSE
217,2012,FALSE
218,2012,FALSE
219,2012,FALSE
220,2012,
221,2012,
222,2012,FALSE
223,2012,FALSE
224,2012,
225,2012,
226,2012,TRUE
227,2012,TRUE
228,2012,FALSE
1,2011,
2,2011,FALSE
3,2011,FALSE
4,2011,
5,2011,
6,2011,TRUE
7,2011,
8,2011,FALSE
9,2011,FALSE
10,2011,FALSE
11,2011,
12,2011,
13,2011,FALSE
14,2011,FALSE
15,2011,FALSE
16,2011,
17,2011,FALSE
18,2011,TRUE
19,2011,FALSE
20,2011,FALSE
21,2011,FALSE
22,2011,
23,2011,TRUE
24,2011,
25,2011,FALSE
26,2011,FALSE
27,2011,FALSE
28,2011,FALSE
29,2011,FALSE
30,2011,
31,2011,FALSE
32,2011,FALSE
33,2011,TRUE
34,2011,
35,2011,TRUE
36,2011,TRUE
37,2011,FALSE
38,2011,FALSE
39,2011,
40,2011,TRUE
41,2011,TRUE
42,2011,FALSE
43,2011,FALSE
44,2011,
45,2011,FALSE
46,2011,TRUE
47,2011,TRUE
48,2011,TRUE
49,2011,FALSE
50,2011,TRUE
51,2011,FALSE
52,2011,FALSE
53,2011,FALSE
54,2011,FALSE
55,2011,
56,2011,FALSE
57,2011,TRUE
58,2011,
59,2011,FALSE
60,2011,FALSE
61,2011,FALSE
62,2011,FALSE
63,2011,
64,2011,TRUE
65,2011,FALSE
66,2011,TRUE
67,2011,
68,2011,
69,2011,FALSE
70,2011,FALSE
71,2011,FALSE
72,2011,
73,2011,FALSE
74,2011,TRUE
75,2011,FALSE
76,2011,FALSE
77,2011,FALSE
78,2011,
79,2011,FALSE
80,2011,
81,2011,
82,2011,
83,2011,
84,2011,
85,2011,TRUE
86,2011,TRUE
87,2011,FALSE
88,2011,
89,2011,FALSE
90,2011,FALSE
91,2011,FALSE
92,2011,FALSE
93,2011,TRUE
94,2011,FALSE
95,2011,FALSE
96,2011,
97,2011,FALSE
98,2011,FALSE
99,2011,FALSE
100,2011,FALSE
101,2011,FALSE
102,2011,
103,2011,FALSE
104,2011,FALSE
105,2011,FALSE
106,2011,
107,2011,FALSE
108,2011,
109,2011,
110,2011,TRUE
111,2011,FALSE
112,2011,FALSE
113,2011,TRUE
114,2011,TRUE
115,2011,
116,2011,
117,2011,FALSE
118,2011,FALSE
119,2011,FALSE
120,2011,TRUE
121,2011,TRUE
122,2011,FALSE
123,2011,FALSE
124,2011,TRUE
125,2011,FALSE
