"CountryCode","Year","LCC","estimate"
164,2011,0,0
164,2012,0,0
164,2013,0,0
164,2014,0,0
165,2008,NA,1
165,2010,NA,1
165,2011,NA,1
165,2012,NA,1
165,2013,NA,1
165,2014,0,1
166,2008,0,0
166,2010,0,0
166,2011,0,0
166,2012,0,0
166,2013,0,0
166,2014,0,0
167,2008,0,0
167,2010,0,0
167,2011,0,0
167,2012,0,0
167,2013,0,0
167,2014,0,0
168,2008,0,0
168,2010,0,0
168,2011,0,0
168,2012,0,0
168,2013,0,0
168,2014,0,0
169,2008,1,0
169,2010,1,0
169,2011,1,0
169,2012,1,0
169,2013,1,0
169,2014,1,0
170,2008,NA,1
170,2010,NA,1
170,2011,NA,1
170,2012,NA,1
170,2013,NA,1
170,2014,0,1
171,2008,NA,1
171,2010,0,0
171,2011,NA,1
171,2012,NA,1
171,2013,NA,1
171,2014,0,0
172,2008,NA,1
172,2010,NA,1
172,2011,NA,1
172,2012,NA,1
172,2013,NA,1
172,2014,NA,1
173,2008,0,0
173,2010,0,0
173,2011,0,0
173,2012,0,0
173,2013,0,0
173,2014,0,0
174,2008,1,0
174,2010,1,0
174,2011,1,0
174,2012,1,0
174,2013,1,0
174,2014,1,0
175,2008,0,0
175,2010,0,0
175,2011,0,0
175,2012,0,0
175,2013,0,0
175,2014,0,0
176,2008,0,0
176,2010,0,0
176,2011,0,0
176,2012,0,0
176,2013,0,0
176,2014,0,0
177,2008,NA,1
177,2010,NA,1
177,2011,NA,1
177,2012,NA,1
177,2013,NA,1
177,2014,1,1
178,2008,0,0
178,2010,0,0
178,2011,0,0
178,2012,0,0
178,2013,0,0
178,2014,0,0
179,2008,0,0
179,2010,0,0
179,2011,0,0
179,2012,0,0
179,2013,0,0
179,2014,0,0
180,2008,0,0
180,2010,0,0
180,2011,0,0
180,2012,0,0
180,2013,0,0
180,2014,0,0
181,2008,NA,1
181,2010,1,0
181,2011,1,0
181,2012,1,0
181,2013,1,0
181,2014,1,0
182,2008,NA,1
182,2010,NA,1
182,2011,NA,1
182,2012,NA,1
182,2013,NA,1
182,2014,1,1
183,2008,0,0
183,2010,0,0
183,2011,0,0
183,2012,0,0
183,2013,0,0
183,2014,0,0
184,2008,NA,1
184,2010,NA,1
184,2011,NA,1
184,2012,NA,1
184,2013,NA,1
184,2014,1,0
185,2008,0,0
185,2010,0,0
185,2011,0,0
185,2012,0,0
185,2013,0,0
185,2014,0,0
186,2008,0,0
186,2010,0,0
186,2011,0,0
186,2012,0,0
186,2013,0,0
186,2014,0,0
187,2008,NA,1
187,2010,NA,1
187,2011,NA,1
187,2012,NA,1
187,2013,NA,1
187,2014,NA,1
188,2008,NA,1
188,2010,0,0
188,2011,NA,1
188,2012,0,0
188,2013,0,0
188,2014,0,0
189,2008,NA,1
189,2010,0,0
189,2011,0,0
189,2012,0,0
189,2013,0,0
189,2014,0,0
190,2008,NA,1
190,2010,NA,1
190,2011,NA,1
190,2012,NA,1
190,2013,NA,1
190,2014,NA,1
191,2008,NA,1
191,2010,0,0
191,2011,0,0
191,2012,0,0
191,2013,0,0
191,2014,0,0
192,2008,NA,1
192,2010,1,0
192,2011,0,0
192,2012,0,0
192,2013,0,0
192,2014,1,0
193,2008,0,0
193,2010,0,0
193,2011,0,0
193,2012,0,0
193,2013,0,0
193,2014,0,0
194,2008,1,0
194,2010,NA,1
194,2011,0,0
194,2012,1,0
194,2013,1,0
194,2014,1,1
195,2008,0,0
195,2010,0,0
195,2011,0,0
195,2012,0,0
195,2013,0,0
195,2014,0,0
196,2008,0,0
196,2010,0,0
196,2011,0,0
196,2012,0,0
196,2013,0,0
196,2014,0,0
197,2008,0,0
197,2010,0,0
197,2011,0,0
197,2012,0,0
197,2013,0,0
197,2014,0,0
198,2008,NA,1
198,2010,NA,1
198,2011,NA,1
198,2012,NA,1
198,2013,NA,1
198,2014,NA,1
199,2008,NA,1
199,2010,NA,1
199,2011,NA,1
199,2012,NA,1
199,2013,NA,1
199,2014,1,1
200,2008,1,0
200,2010,1,0
200,2011,1,0
200,2012,1,0
200,2013,1,0
200,2014,1,0
201,2008,0,0
201,2010,0,0
201,2011,0,0
201,2012,0,0
201,2013,0,0
201,2014,0,0
202,2008,0,0
202,2010,0,0
202,2011,0,0
202,2012,0,0
202,2013,0,0
202,2014,0,0
203,2008,NA,1
203,2010,NA,1
203,2011,NA,1
203,2012,NA,1
203,2013,NA,1
203,2014,1,1
204,2008,1,0
204,2010,1,0
204,2011,NA,1
204,2012,NA,1
204,2013,NA,1
204,2014,1,0
205,2008,NA,1
205,2010,NA,1
205,2011,NA,1
205,2012,NA,1
205,2013,NA,1
205,2014,NA,1
206,2008,NA,1
206,2010,0,0
206,2011,0,0
206,2012,NA,1
206,2013,NA,1
206,2014,0,0
207,2008,0,0
207,2010,0,0
207,2011,0,0
207,2012,0,0
207,2013,0,0
207,2014,0,0
208,2008,0,0
208,2010,0,0
208,2011,0,0
208,2012,0,0
208,2013,0,0
208,2014,0,0
209,2008,0,0
209,2010,0,0
209,2011,0,0
209,2012,0,0
209,2013,0,0
209,2014,0,0
210,2008,0,0
